"PVWatts: Hourly PV Performance Data"
"Requested Location:","78249"
"Location:","SAN ANTONIO INTL AP, TX"
"Lat (deg N):","29.53"
"Long (deg W):","98.47"
"Elev (m):","247"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","16.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","15","0","0","0","2.8","3.1","0","2.8","0","0"
"1","15","1","0","0","3.9","0","0","3.9","0","0"
"1","15","2","0","0","3.9","2.1","0","3.9","0","0"
"1","15","3","0","0","3.3","3.1","0","3.3","0","0"
"1","15","4","0","0","2.2","4.1","0","2.2","0","0"
"1","15","5","0","0","1.7","4.1","0","1.7","0","0"
"1","15","6","0","0","1.1","3.1","0","1.1","0","0"
"1","15","7","132","11","1.1","2.6","42.635","0.562","131.527","106.826"
"1","15","8","638","30","6.7","2.6","267.822","11.812","870.635","829.484"
"1","15","9","786","63","10.6","2.6","518.528","22.666","1745.505","1678.869"
"1","15","10","837","105","13.3","5.2","727.789","26.704","2459.702","2367.426"
"1","15","11","828","99","14.4","1.5","803.361","37.91","2586.806","2489.511"
"1","15","12","739","157","15","4.1","834.451","33.121","2756.074","2651.882"
"1","15","13","651","167","16.1","1.5","757.639","38.68","2433.522","2342.262"
"1","15","14","767","102","16.7","3.1","717.247","33.787","2351.614","2263.497"
"1","15","15","696","103","17.2","2.6","570.48","31.653","1868.511","1797.769"
"1","15","16","390","87","16.1","3.6","282.423","22.287","938.436","895.544"
"1","15","17","21","35","13.3","3.6","43.225","13.324","152.304","127.203"
"1","15","18","0","0","11.1","2.1","0","11.1","0","0"
"1","15","19","0","0","8.9","0","0","8.9","0","0"
"1","15","20","0","0","5.6","2.1","0","5.6","0","0"
"1","15","21","0","0","5","2.6","0","5","0","0"
"1","15","22","0","0","4.4","2.6","0","4.4","0","0"
"1","15","23","0","0","5","2.6","0","5","0","0"
"1","16","0","0","0","5.6","3.1","0","5.6","0","0"
"1","16","1","0","0","5","2.6","0","5","0","0"
"1","16","2","0","0","4.4","3.1","0","4.4","0","0"
"1","16","3","0","0","4.4","2.6","0","4.4","0","0"
"1","16","4","0","0","3.9","2.1","0","3.9","0","0"
"1","16","5","0","0","4.4","2.1","0","4.4","0","0"
"1","16","6","0","0","2.8","2.6","0","2.8","0","0"
"1","16","7","11","18","3.3","4.1","20.367","2.169","74.931","51.297"
